Month,SMB,HML,WML,RMW,CMA,MKT,Rf
2003-10,-0.0270250530346186,0.0236158564102446,0.0231602285779514,-0.0704302729720432,0.0168258553148233,0.07,0.0038439
2003-11,0.1078383061567373,0.0574868906476094,-0.0476535369808216,-0.0188049420365689,0.0216225893510125,0.0550999999999999,0.0036393125
2003-12,0.0750421339301688,-0.0126134069905012,0.009760024834519,-0.0046091343226946,-0.0357681335535662,0.1913,0.0035031
2004-01,-0.1176641215921913,0.033161562606596,0.0354476548607432,-0.0320997272691925,0.0095203818634033,-0.0467,0.0035541874999999996
2004-02,-0.0546065036670628,-0.001753523982627,0.052078045702485,0.006798776019683,-0.0179508500044477,-0.0116,0.0036478125000000004
2004-03,-0.0325924844118533,0.0257550736899961,0.0557170159342022,-0.0203561332687885,-0.0641104241387462,0.0102,0.003557583333333333
2004-04,0.1073324683381226,-0.0415337445394266,-0.0011554246256085,-0.0042873581261103,0.0227786064196808,0.0343,0.003656333333333334
2004-05,0.0847093356151904,-0.0541019801352685,-0.1349586612181411,-0.0090663848024837,0.0088760807655104,-0.1864,0.0036648333333333333
2004-06,-0.0522919300134813,0.0613466292659215,0.0181564249332298,0.0162831527623234,0.0020623954530391,0.0175,0.003714233333333333
2004-07,-0.0459211960200481,0.1745403795488659,0.0572995143190307,-0.0102875131420731,0.0526404549598372,0.0828999999999999,0.0037329791666666666
2004-08,0.0777267991412684,0.039504459217581,0.0246227722648013,0.0143675411166365,-0.0111083621920115,0.0191,0.003971854166666667
2004-09,-0.0154450507502435,0.0302874594755794,-0.0303220076729681,-0.01056118647083,-0.0160287859633562,0.0737,0.003987183333333333
2004-10,0.0493981925473979,-0.0359777216143676,0.031826232636544,-0.001580775883686,-0.0190995049099363,0.0158,0.0043250625
2004-11,0.0609431929669407,0.0262783053178098,0.0169633877677798,-0.0139883385457884,-0.0091691026666657,0.1006,0.0045655625
2004-12,-0.0092748688573408,0.0749028587574666,0.0432781361147824,-0.0022453656645907,0.0192171372790682,0.0917999999999999,0.004436816666666667
2005-01,0.0063593201228486,0.0154164253726123,0.0469657074219306,-0.0193983733907641,0.0016036658947464,-0.0203,0.0044281875
2005-02,0.0836893934843743,-0.0656353771925532,0.0139361376868472,0.0113483448289744,0.0269910738357665,0.0335,0.0043767499999999996
2005-03,0.0268414593729246,0.0109395490462136,0.0591274094666875,0.0103603684481814,0.0016366253001682,-0.0299,0.004381866666666666
2005-04,0.115285047717896,-0.0103003446071233,0.0061345208575965,-0.0033842011526009,0.0150533997534827,-0.0475,0.004308145833333333
2005-05,0.0131936007299342,0.061866687439861,-0.0113022243349513,-0.0064057528539368,-0.0263955110334645,0.0866,0.004325270833333333
2005-06,-0.0357954031716352,0.0245949402281984,-0.0280287349803404,-0.0445230878066881,-0.0363245473145491,0.0389,0.004409316666666666
2005-07,0.0068968035123037,0.0567516883973008,0.1051619034276701,-0.04624739107056,0.0497411829284068,0.0636,0.0045511944444444445
2005-08,0.1365398565840999,0.0127441796678759,0.0659302252170655,-0.0207281531423844,0.0299770810682334,0.0487999999999999,0.004368145833333333
2005-09,-0.0798747229737248,0.0031683122068186,0.0066102201251143,0.0281447733917227,-0.0396228548920588,0.0694,0.0043681875000000005
2005-10,-0.0017405399439707,-0.0584986510395084,-0.0451294942239267,0.011898176141068,-0.0151067220805174,-0.0907,0.004582708333333334
2005-11,-0.0040017143853281,-0.0044460178340135,0.0478238172733735,-0.0101390854957098,0.00723469750766,0.1153,0.00480095
2005-12,-0.0091031422035634,-0.0351631278202264,0.0390140639821253,0.0215292346295078,-0.0235129256526329,0.0664,0.0049093750000000005
2006-01,0.0014497311448903,-0.0306559864798379,0.0781526828993822,-0.0177491224606555,-0.0047715831070236,0.0515,0.005210854166666667
2006-02,0.0081887596916922,-0.0454840921245322,0.0025184649815161,0.0184401547071712,0.0094948549956024,0.0282,0.005521291666666667
2006-03,-0.0335379891914118,0.0018915020723232,0.0885822032359113,0.0491488804706588,-0.0130680433459196,0.0944999999999999,0.0054281166666666665
2006-04,0.0230116838099186,0.0185657132301848,0.0480455147645762,-0.0125804351737803,0.065523677465309,0.053,0.0045998958333333334
2006-05,0.0383114261648137,-0.012934772096344,-0.0313429183388866,-0.0328678867592637,-0.0558534269339533,-0.1401,0.0047459500000000005
2006-06,-0.1225491054483601,-0.0202552953972829,0.0671659145799092,0.0298059006040085,-0.0188085594414637,-0.0276,0.005124666666666666
2006-07,0.0005991771218673,-0.0366724559871769,-0.0260316622700166,-0.0064529522622588,-0.0065701155942757,0.0,0.0053486666666666665
2006-08,0.0223451272802894,0.0271852595563491,-0.0348426932949249,-0.0109729868376402,0.0163781863729524,0.0958,0.005338316666666666
2006-09,0.0242903026410397,-0.0349756505662281,0.0039988362079939,-0.0185973355914538,0.0232982875033865,0.0642,0.0054263125
2006-10,0.0134858023866633,-0.0351224473559348,0.0834611045609502,0.0065236612105197,-0.0710621732807414,0.0423,0.00552125
2006-11,0.0129031535327093,-0.068502073518157,0.05278072222624,-0.0263072377776,-0.0474562833541985,0.0533,0.005545416666666667
2006-12,0.0389524959167703,0.0271986527623212,0.0232706096125758,-0.0015994756147111,-0.0310898593158592,0.0045,0.005841125
